Net Status Report
Filename     : E:\bms bcm\feisi\整车控制器 板子 原理图 改后\VCU_1_3\PCB图.PcbDoc
Date         : 2016/8/23
Time         : 15:09:52
Time Elapsed : 00:00:00

Nets, Layer, Length
    NetR31_1, Signal Layers Only, 0mm
    NetR32_2, Signal Layers Only, 0mm
    NetR34_2, Signal Layers Only, 0mm
    NetR38_2, Signal Layers Only, 0mm
    NetR3_1, Signal Layers Only, 4.3896mm
    NetR4_2, Signal Layers Only, 4.4366mm
    NetR54_2, Signal Layers Only, 3.372mm
    NetR55_2, Signal Layers Only, 3.372mm
    NetR56_2, Signal Layers Only, 0mm
    NetR6_1, Signal Layers Only, 4.2766mm
    NetR71_1, Signal Layers Only, 3.324mm
    NetR72_1, Signal Layers Only, 3.197mm
    NetR7_2, Signal Layers Only, 0mm
    NetR8_1, Signal Layers Only, 0mm
    NetR9_1, Signal Layers Only, 0mm
    NetS1_1, Signal Layers Only, 4.6381mm
    NetS1_4, Signal Layers Only, 4.8485mm
    NetS2_1, Signal Layers Only, 4.6381mm
    NetS2_4, Signal Layers Only, 4.8485mm
    NetS3_1, Signal Layers Only, 4.3315mm
    NetS3_4, Signal Layers Only, 4.6306mm
    OUT1, Signal Layers Only, 0mm
    OUT2, Signal Layers Only, 0mm
    OUT3, Signal Layers Only, 0mm
    OUT4, Signal Layers Only, 0mm
    OUT5, Signal Layers Only, 0mm
    OUT6, Signal Layers Only, 0mm
    OUT7, Signal Layers Only, 0mm
    OUT8, Signal Layers Only, 0mm
    OUTH1, Signal Layers Only, 0mm
    OUTH2, Signal Layers Only, 0mm
    OUTH3, Signal Layers Only, 0mm
    OUTH4, Signal Layers Only, 0mm
    OUTH5, Signal Layers Only, 0mm
    OUTH6, Signal Layers Only, 0mm
    OUTH7, Signal Layers Only, 0mm
    OUTH8, Signal Layers Only, 0mm
    OUTL1, Signal Layers Only, 0mm
    OUTL2, Signal Layers Only, 0mm
    PA0, Signal Layers Only, 12.0394mm
    PA1, Signal Layers Only, 11.7205mm
    PA2, Signal Layers Only, 11.4341mm
    PA3, Signal Layers Only, 11.2402mm
    PA4, Signal Layers Only, 5.3226mm
    PA5, Signal Layers Only, 4.6888mm
    PA6, Signal Layers Only, 4.3547mm
    PA7, Signal Layers Only, 3.7338mm
    PB0, Signal Layers Only, 5.95mm
    PB1, Signal Layers Only, 5.95mm
    PB2, Signal Layers Only, 5.95mm
    PB3, Signal Layers Only, 5.971mm
    PB4, Signal Layers Only, 3.685mm
    PB5, Signal Layers Only, 3.664mm
    PB6, Signal Layers Only, 3.664mm
    PB7, Signal Layers Only, 3.664mm
    PC0, Signal Layers Only, 0mm
    PC1, Signal Layers Only, 0mm
    PC2, Signal Layers Only, 0mm
    PC3, Signal Layers Only, 0mm
    PC4, Signal Layers Only, 0mm
    PC5, Signal Layers Only, 0mm
    PD0, Signal Layers Only, 0mm
    PD1, Signal Layers Only, 0mm
    PE6, Signal Layers Only, 0mm
    PE7, Signal Layers Only, 0mm
    PH4, Signal Layers Only, 0mm
    PH5, Signal Layers Only, 0mm
    PH6, Signal Layers Only, 0mm
    PJ2, Signal Layers Only, 3.685mm
    PJ4, Signal Layers Only, 0mm
    PJ5, Signal Layers Only, 0mm
    PJ6, Signal Layers Only, 0mm
    PJ7, Signal Layers Only, 0mm
    PK0, Signal Layers Only, 5.95mm
    PK1, Signal Layers Only, 5.95mm
    PK2, Signal Layers Only, 5.95mm
    PK3, Signal Layers Only, 3.664mm
    PK6, Signal Layers Only, 3.664mm
    PM6, Signal Layers Only, 0mm
    PP0, Signal Layers Only, 5.2366mm
    PP1, Signal Layers Only, 0mm
    PP2, Signal Layers Only, 4.422mm
    PP3, Signal Layers Only, 0mm
    PP4, Signal Layers Only, 0mm
    PP5, Signal Layers Only, 0mm
    PP6, Signal Layers Only, 0mm
    PP7, Signal Layers Only, 0mm
    PS6, Signal Layers Only, 0mm
    PS7, Signal Layers Only, 0mm
    PT0, Signal Layers Only, 0mm
    PT1, Signal Layers Only, 0mm
    PT2, Signal Layers Only, 0mm
    PT3, Signal Layers Only, 0mm
    PT4, Signal Layers Only, 0mm
    PT5, Signal Layers Only, 0mm
    PT6, Signal Layers Only, 0mm
    PWM_IN1, Signal Layers Only, 0mm
    PWM_IN2, Signal Layers Only, 0mm
    PWM_IN3, Signal Layers Only, 0mm
    PWM_IN4, Signal Layers Only, 0mm
    PWM_OUT1, Signal Layers Only, 10.9606mm
    PWM_OUT2, Signal Layers Only, 7.3346mm
    PWM_OUT3, Signal Layers Only, 12.0601mm
    PWM_OUT4, Signal Layers Only, 10.6104mm
    PWM_OUT5, Signal Layers Only, 0mm
    PWM_OUT6, Signal Layers Only, 0mm
    RESET, Signal Layers Only, 14.7826mm
    ROUT1, Signal Layers Only, 0mm
    ROUT2, Signal Layers Only, 0mm
    ROUT3, Signal Layers Only, 0mm
    ROUT4, Signal Layers Only, 0mm
    ROUT5, Signal Layers Only, 0mm
    ROUT6, Signal Layers Only, 0mm
    ROUT7, Signal Layers Only, 0mm
    ROUT8, Signal Layers Only, 0mm
